Date,Open,High,Low,Close,Volume
2020-07-08,1.9,1.9,1.9,1.9,3390329
2020-07-09,1.85,1.95,1.85,1.95,36364209
2020-07-10,2.0,2.0,2.0,2.0,2579502
2020-07-13,2.1,2.1,1.9,1.9,17686482
2020-07-14,1.85,1.85,1.85,1.85,2236771
2020-07-15,1.8,1.85,1.8,1.8,9620753
2020-07-16,1.75,1.75,1.75,1.75,489560
2020-07-17,1.7,1.8,1.7,1.8,21342153
2020-07-20,1.85,1.85,1.85,1.85,2538287
2020-07-21,1.9,1.9,1.85,1.9,10479656
2020-07-22,1.95,1.95,1.95,1.95,781317
2020-07-23,2.0,2.0,2.0,2.0,853847
2020-07-24,2.1,2.1,1.95,2.0,23309771
2020-07-27,1.95,2.05,1.9,1.9,11150492
2020-07-28,1.95,1.95,1.95,1.95,2043075
2020-07-29,2.0,2.0,2.0,2.0,642698
2020-07-30,2.1,2.1,2.1,2.1,1049787
2020-07-31,2.2,2.2,2.2,2.2,1203954
2020-08-03,2.3,2.3,2.3,2.3,1078374
2020-08-04,2.4,2.4,2.4,2.4,594939
2020-08-05,2.5,2.5,2.5,2.5,448045
2020-08-06,2.6,2.6,2.6,2.6,1128126
2020-08-07,2.7,2.7,2.7,2.7,1003563
2020-08-10,2.8,2.8,2.8,2.8,975694
2020-08-11,2.9,2.9,2.7,2.9,15235378
2020-08-12,2.9,3.0,2.8,3.0,12935155
2020-08-13,3.1,3.15,3.1,3.15,1670627
2020-08-14,3.3,3.3,3.0,3.05,36824070
2020-08-17,3.15,3.15,2.9,2.9,11204704
2020-08-18,2.8,2.8,2.8,2.8,1606995
2020-08-19,2.7,2.9,2.7,2.9,8603230
2020-08-20,3.0,3.0,3.0,3.0,3148774
2020-08-21,2.9,3.05,2.85,2.85,28688374
2020-08-24,2.9,2.95,2.75,2.95,12869679
2020-08-25,3.05,3.05,2.9,3.05,21872924
2020-08-26,3.05,3.1,2.95,3.0,14943429
2020-08-27,3.0,3.0,2.85,2.85,21133947
2020-08-28,2.85,2.85,2.75,2.75,11084983
2020-08-31,2.8,2.85,2.65,2.65,17839122
2020-09-01,2.55,2.7,2.55,2.55,14291520
2020-09-02,2.55,2.55,2.45,2.45,10853554
2020-09-03,2.45,2.55,2.35,2.55,26485406
2020-09-04,2.6,2.65,2.45,2.65,21499589
2020-09-07,2.75,2.75,2.65,2.75,5459496
2020-09-08,2.85,2.85,2.75,2.8,5791895
2020-09-09,2.8,2.85,2.7,2.7,8288036
2020-09-10,2.7,2.8,2.7,2.7,7854699
2020-09-11,2.7,2.75,2.6,2.65,11150765
2020-09-14,2.65,2.75,2.65,2.7,10391985
2020-09-15,2.7,2.7,2.6,2.6,5911809
2020-09-16,2.65,2.65,2.5,2.55,9546632
2020-09-17,2.6,2.6,2.5,2.55,5006478
2020-09-18,2.6,2.6,2.45,2.5,5557243
2020-09-21,2.5,2.5,2.4,2.4,10701183
2020-09-22,2.35,2.35,2.3,2.3,1383304
2020-09-23,2.2,2.3,2.2,2.2,8063704
2020-09-24,2.1,2.2,2.1,2.1,8185983
2020-09-25,2.1,2.2,2.05,2.2,5002645
2020-09-28,2.3,2.3,2.25,2.3,2219427
2020-09-29,2.4,2.4,2.3,2.4,10374259
2020-09-30,2.5,2.5,2.4,2.4,15418601
2020-10-01,2.45,2.45,2.3,2.35,5105870
2020-10-05,2.4,2.45,2.35,2.45,3467016
2020-10-06,2.55,2.55,2.45,2.55,13399064
2020-10-07,2.6,2.65,2.45,2.5,4518104
2020-10-08,2.5,2.6,2.4,2.45,5909452
2020-10-09,2.5,2.55,2.45,2.5,4515883
2020-10-12,2.55,2.55,2.35,2.35,3572013
2020-10-13,2.35,2.4,2.3,2.35,1718417
2020-10-14,2.35,2.4,2.3,2.3,6062952
